,daily.returns O,daily.returns,,1+r ,1+r O,cumulative returns,cumulative returns O,
1,0.005830221,0.007695586,,1.007695586,1.005830221,0.77%,0.58%,
2,-0.003148378,-0.002552517,,0.997447483,0.996851622,0.51%,0.27%,
3,-0.011420495,-0.019046849,,0.980953151,0.988579505,-1.40%,-0.88%,
4,0.013606122,0.009643805,,1.009643805,1.013606122,-0.45%,0.47%,
5,0.000571226,0.004514693,,1.004514693,1.000571226,0.00%,0.53%,
6,0.014373025,0.010908946,,1.010908946,1.014373025,1.09%,1.97%,
7,0.000160718,0.001490988,,1.001490988,1.000160718,1.24%,1.99%,
8,-0.000218794,-0.000183749,,0.999816251,0.999781206,1.22%,1.97%,
9,0.000110184,0.002560829,,1.002560829,1.000110184,1.48%,1.98%,
10,0.001812183,0.001050251,,1.001050251,1.001812183,1.59%,2.16%,
11,0.002576422,0.004531426,,1.004531426,1.002576422,2.05%,2.43%,
12,0.008120736,0.005708211,,1.005708211,1.008120736,2.63%,3.26%,
13,-0.014196054,-0.020868904,,0.979131096,0.985803946,0.49%,1.79%,
14,-0.003939364,-0.002938299,,0.997061701,0.996060636,0.19%,1.39%,
15,0.003628987,0.00363197,,1.00363197,1.003628987,0.56%,1.76%,
16,-0.002376905,-0.001849824,,0.998150176,0.997623095,0.37%,1.52%,
17,-0.000300164,0.000495655,,1.000495655,0.999699836,0.42%,1.49%,
18,-0.016719208,-0.012583955,,0.987416045,0.983280792,-0.84%,-0.21%,
19,0.001838297,1.69E-05,,1.000016919,1.001838297,-0.84%,-0.03%,
20,0.010173637,0.007436065,,1.007436065,1.010173637,-0.10%,0.99%,
21,-0.010503427,-0.016568208,,0.983431792,0.989496573,-1.76%,-0.07%,
22,-0.024078425,-0.017345934,,0.982654066,0.975921575,-3.46%,-2.48%,
23,-0.010149983,-0.017668445,,0.982331555,0.989850017,-5.17%,-3.47%,
24,0.0378891,0.027749406,,1.027749406,1.0378891,-2.54%,0.19%,
25,0.008406167,0.012696111,,1.012696111,1.008406167,-1.30%,1.03%,
26,-0.001174256,-0.000728407,,0.999271593,0.998825744,-1.37%,0.91%,
27,-0.000509832,-0.002589295,,0.997410705,0.999490168,-1.63%,0.86%,
28,0.004400913,0.003415641,,1.003415641,1.004400913,-1.29%,1.31%,
29,0.002985763,0.004191271,,1.004191271,1.002985763,-0.88%,1.61%,
30,0.010898927,0.008102925,,1.008102925,1.010898927,-0.07%,2.72%,
31,0.000473901,4.86E-05,,1.000048606,1.000473901,-0.07%,2.77%,
32,-0.005556261,-0.004057441,,0.995942559,0.994443739,-0.48%,2.19%,
33,-0.002405512,-0.003744554,,0.996255446,0.997594488,-0.85%,1.95%,
34,-0.001244824,-0.001169684,,0.998830316,0.998755176,-0.96%,1.82%,
35,0.006816869,0.012700299,,1.012700299,1.006816869,0.29%,2.52%,
36,-0.014217083,-0.01049439,,0.98950561,0.985782917,-0.76%,1.06%,
37,-0.011697577,-0.019234888,,0.980765112,0.988302423,-2.67%,-0.12%,
38,0.000116429,-0.000691843,,0.999308157,1.000116429,-2.73%,-0.11%,
39,-0.008416633,-0.012030392,,0.987969608,0.991583367,-3.90%,-0.95%,
40,-0.003673407,-0.002736425,,0.997263575,0.996326593,-4.17%,-1.32%,
41,-0.021665075,-0.036350634,,0.963649366,0.978334925,-7.65%,-3.45%,
42,-0.00855502,-0.006122173,,0.993877827,0.99144498,-8.22%,-4.28%,
43,0.007965143,0.011939207,,1.011939207,1.007965143,-7.12%,-3.52%,
44,-0.010114656,-0.00694181,,0.99305819,0.989885344,-7.77%,-4.49%,
45,-0.00105501,0.002851841,,1.002851841,0.99894499,-7.50%,-4.60%,
46,-0.027236792,-0.020197586,,0.979802414,0.972763208,-9.37%,-7.19%,
47,-0.040590936,-0.067099577,,0.932900423,0.959409064,-15.45%,-10.96%,
48,0.015748604,0.010830057,,1.010830057,1.015748604,-14.54%,-9.56%,
49,-0.054800939,-0.088612726,,0.911387274,0.945199061,-22.11%,-14.51%,
50,0.051284525,0.038144197,,1.038144197,1.051284525,-19.14%,-10.13%,
51,-0.034850138,-0.060072373,,0.939927627,0.965149862,-24.00%,-13.26%,
52,-0.039267348,-0.029737706,,0.970262294,0.960732652,-26.26%,-16.67%,
53,-0.040958063,-0.060725294,,0.939274706,0.959041937,-30.73%,-20.08%,
54,-0.044197681,-0.031661086,,0.968338914,0.955802319,-32.93%,-23.61%,
55,0.049433357,0.069613201,,1.069613201,1.049433357,-28.26%,-19.84%,
56,-0.202465531,-0.150036844,,0.849963156,0.797534469,-39.02%,-36.07%,
57,0.013314108,0.01514119,,1.01514119,1.013314108,-38.10%,-35.22%,
58,0.121319216,0.091588232,,1.091588232,1.121319216,-32.43%,-27.36%,
59,0.02768515,0.039861023,,1.039861023,1.02768515,-29.74%,-25.35%,
60,-0.019885941,-0.014981339,,0.985018661,0.980114059,-30.79%,-26.83%,
61,-0.031472741,-0.045464876,,0.954535124,0.968527259,-33.94%,-29.13%,
62,0.039913773,0.030840091,,1.030840091,1.039913773,-31.90%,-26.30%,
63,-0.024664125,-0.03703511,,0.96296489,0.975335875,-34.42%,-28.12%,
64,-0.017241437,-0.012789065,,0.987210935,0.982758563,-35.26%,-29.36%,
65,0.060333288,0.084610043,,1.084610043,1.060333288,-29.78%,-25.10%,
66,-0.028526723,-0.020367761,,0.979632239,0.971473277,-31.21%,-27.24%,
67,0.024238743,0.036061351,,1.036061351,1.024238743,-28.73%,-25.47%,
68,-0.043534,-0.032267814,,0.967732186,0.956466,-31.03%,-28.72%,
69,-0.014003379,-0.014399121,,0.985600879,0.985996621,-32.02%,-29.72%,
70,0.016248685,0.012300374,,1.012300374,1.016248685,-31.19%,-28.57%,
71,0.033396523,0.049068273,,1.049068273,1.033396523,-27.81%,-26.19%,
72,0.014927092,0.009944847,,1.009944847,1.014927092,-27.09%,-25.09%,
73,-0.017934735,-0.034804646,,0.965195354,0.982065265,-29.63%,-26.43%,
