,daily.returns,daily.returns o,1+r,1+r O,cumulative returns,cumulative returnsO,
1,0.003217004,0.002185537,1.003217004,1.002185537,0%,0%,
2,0.009104116,0.008408312,1.009104116,1.008408312,1%,1%,
3,-0.008955021,-0.009565194,0.991044979,0.990434806,0%,0%,
4,0.002791221,0.002478732,1.002791221,1.002478732,1%,0%,
5,-0.003303446,-0.002727643,0.996696554,0.997272357,0%,0%,
6,0.02242705,0.020062327,1.02242705,1.020062327,3%,2%,
7,0.016418768,0.017305581,1.016418768,1.017305581,4%,4%,
8,0.011433158,0.010353993,1.011433158,1.010353993,5%,5%,
9,0.006984404,0.008430941,1.006984404,1.008430941,6%,6%,
10,-0.00230382,-0.002118245,0.99769618,0.997881755,6%,6%,
11,-0.001880547,-0.00148357,0.998119453,0.99851643,6%,5%,
12,-0.006954746,-0.006260963,0.993045254,0.993739037,5%,5%,
13,0.001212057,-0.000461024,1.001212057,0.999538976,5%,5%,
14,-0.006215862,-0.005586415,0.993784138,0.994413585,4%,4%,
15,-0.001145424,-0.001264562,0.998854576,0.998735438,4%,4%,
16,0.008478871,0.007355001,1.008478871,1.007355001,5%,5%,
17,0.0078851,0.006505519,1.0078851,1.006505519,6%,5%,
18,0.004654664,0.004158364,1.004654664,1.004158364,7%,6%,
19,0.010543335,0.011513887,1.010543335,1.011513887,8%,7%,
20,0.005996106,0.005272278,1.005996106,1.005272278,8%,8%,
21,-0.002540424,-0.00224006,0.997459576,0.99775994,8%,7%,
22,-0.013238165,-0.011816351,0.986761835,0.988183649,7%,6%,
23,-0.018328718,-0.018889053,0.981671282,0.981110947,5%,4%,
24,0.021029506,0.018861844,1.021029506,1.018861844,7%,6%,
25,-0.00560739,-0.005814085,0.99439261,0.994185915,6%,5%,
26,0.006180218,0.005536602,1.006180218,1.005536602,7%,6%,
27,0.00250321,0.002946196,1.00250321,1.002946196,7%,6%,
28,-0.005074286,-0.004649432,0.994925714,0.995350568,7%,6%,
29,-0.018218392,-0.020857403,0.981781608,0.979142597,5%,4%,
30,0.008316407,0.007491612,1.008316407,1.007491612,6%,4%,
31,-0.002448166,-0.003166794,0.997551834,0.996833206,5%,4%,
32,0.003984731,0.003361116,1.003984731,1.003361116,6%,4%,
33,-0.001803074,-0.005618572,0.998196926,0.994381428,6%,4%,
34,-0.004524098,-0.003978819,0.995475902,0.996021181,5%,3%,
35,0.00787928,0.006550751,1.00787928,1.006550751,6%,4%,
36,0.002004907,0.002233549,1.002004907,1.002233549,6%,4%,
37,-0.004123646,-0.004656497,0.995876354,0.995343503,6%,4%,
38,0.0010633,0.001146428,1.0010633,1.001146428,6%,4%,
39,-0.000976259,0.000318713,0.999023741,1.000318713,6%,4%,
40,-0.000581774,-0.000475136,0.999418226,0.999524864,6%,4%,
41,-0.013919987,-0.014004658,0.986080013,0.985995342,4%,3%,
42,-0.006992727,-0.006411261,0.993007273,0.993588739,3%,2%,
43,0.018332243,0.01964816,1.018332243,1.01964816,5%,4%,
44,-0.008864531,-0.00788566,0.991135469,0.99211434,4%,3%,
45,0.000791964,0.000402108,1.000791964,1.000402108,4%,3%,
46,-0.016398565,-0.014706683,0.983601435,0.985293317,3%,2%,
47,-0.036527086,-0.036023079,0.963472914,0.963976921,-1%,-2%,
48,0.008069975,0.006956403,1.008069975,1.006956403,0%,-1%,
49,-0.009324545,-0.008372278,0.990675455,0.991627722,-1%,-2%,
50,-0.100262292,-0.090228477,0.899737708,0.909771523,-11%,-11%,
51,-0.009745758,-0.013771182,0.990254242,0.986228818,-12%,-12%,
52,-0.036116308,-0.032930492,0.963883692,0.967069508,-15%,-15%,
53,-0.034862118,-0.04273588,0.965137882,0.95726412,-18%,-19%,
54,-0.068639269,-0.06148026,0.931360731,0.93851974,-24%,-24%,
55,-0.070527729,-0.087293132,0.929472271,0.912706868,-29%,-30%,
56,0.017057778,0.014861886,1.017057778,1.014861886,-28%,-29%,
57,-0.122021886,-0.131143876,0.877978114,0.868856124,-37%,-39%,
58,-0.015621719,-0.013723078,0.984378281,0.986276922,-38%,-39%,
59,0.071320572,0.090137434,1.071320572,1.090137434,-33%,-34%,
60,0.008912247,0.008388121,1.008912247,1.008388121,-33%,-33%,
61,-0.030702992,-0.029421524,0.969297008,0.970578476,-35%,-35%,
62,0.012993564,0.010972861,1.012993564,1.010972861,-34%,-35%,
63,0.025019052,0.022811619,1.025019052,1.022811619,-32%,-33%,
64,-0.001915428,-0.002274681,0.998084572,0.997725319,-32%,-33%,
65,0.057223706,0.069002883,1.057223706,1.069002883,-28%,-29%,
66,0.001894842,0.001447348,1.001894842,1.001447348,-28%,-29%,
67,0.024227477,0.025122601,1.024227477,1.025122601,-27%,-27%,
68,0.026330512,0.024371676,1.026330512,1.024371676,-25%,-25%,
69,-0.013579985,-0.01671298,0.986420015,0.98328702,-26%,-26%,
70,-0.003809696,-0.003402823,0.996190304,0.996597177,-26%,-27%,
71,0.011448877,0.014825851,1.011448877,1.014825851,-25%,-26%,
72,0.031047399,0.028244583,1.031047399,1.028244583,-23%,-23%,
73,-0.002180231,0.005893676,0.997819769,1.005893676,-23%,-23%,
74,0.018579842,0.016798414,1.018579842,1.016798414,-22%,-22%,
75,0.011355963,0.014611739,1.011355963,1.014611739,-21%,-21%,
76,0.02655018,0.023915896,1.02655018,1.023915896,-19%,-19%,
77,-0.000264538,0.003752653,0.999735462,1.003752653,-19%,-18%,
78,0.008008017,0.007264805,1.008008017,1.007264805,-18%,-18%,
79,-0.004480264,-0.004028897,0.995519736,0.995971103,-18%,-18%,
80,0.01100486,0.009865079,1.01100486,1.009865079,-17%,-17%,
81,-0.049198288,-0.055294911,0.950801712,0.944705089,-21%,-22%,
82,-0.001117912,-0.000864626,0.998882088,0.999135374,-22%,-22%,
83,0.002595825,0.002275498,1.002595825,1.002275498,-21%,-22%,
84,0.007611329,0.007331643,1.007611329,1.007331643,-21%,-21%,
85,-0.037486532,-0.044329434,0.962513468,0.955670566,-24%,-25%,
86,-0.017350016,-0.015502653,0.982649984,0.984497347,-25%,-26%,
87,0.003106342,-0.000329761,1.003106342,0.999670239,-25%,-26%,
88,0.024863286,0.022500057,1.024863286,1.022500057,-23%,-24%,
89,-0.012724954,-0.014643595,0.987275046,0.985356405,-24%,-25%,
90,-0.010455212,-0.009290471,0.989544788,0.990709529,-25%,-26%,
91,-0.013243153,-0.011856896,0.986756847,0.988143104,-26%,-27%,
92,0.025709599,0.023193851,1.025709599,1.023193851,-24%,-25%,
93,0.015701172,0.019228903,1.015701172,1.019228903,-23%,-24%,
94,0.000626591,0.000333273,1.000626591,1.000333273,-23%,-24%,
95,-0.003353806,-0.003513182,0.996646194,0.996486818,-23%,-24%,
96,0.005475333,0.004937813,1.005475333,1.004937813,-22%,-24%,
97,-0.004195416,-0.004734322,0.995804584,0.995265678,-23%,-24%,
98,-0.000210188,-0.000286641,0.999789812,0.999713359,-23%,-24%,
99,0.020798524,0.023788739,1.020798524,1.023788739,-21%,-22%,
100,-0.001108542,-0.000791478,0.998891458,0.999208522,-21%,-22%,
101,0.038222236,0.037503593,1.038222236,1.037503593,-18%,-19%,
102,0.02844114,0.025950654,1.02844114,1.025950654,-16%,-17%,
103,-0.00402487,-0.003071544,0.99597513,0.996928456,-16%,-17%,
104,0.011210794,0.009999921,1.011210794,1.009999921,-15%,-17%,
105,0.03043072,0.035398788,1.03043072,1.035398788,-13%,-14%,
106,0.000564129,0.00043759,1.000564129,1.00043759,-13%,-14%,
107,-0.008770391,-0.008745195,0.991229609,0.991254805,-13%,-14%,
108,0.011987828,0.010730074,1.011987828,1.010730074,-12%,-13%,
109,-0.003374756,-0.0031194,0.996625244,0.9968806,-13%,-14%,
110,-0.005773595,-0.005133642,0.994226405,0.994866358,-13%,-14%,
111,0.007423987,0.002553313,1.007423987,1.002553313,-12%,-14%,
112,0.01781275,0.016108773,1.01781275,1.016108773,-11%,-13%,
113,0.000439286,0.00028565,1.000439286,1.00028565,-11%,-13%,
114,0.008301178,0.007631696,1.008301178,1.007631696,-10%,-12%,
115,0.0310321,0.03290039,1.0310321,1.03290039,-7%,-9%,
116,0.028336372,0.024963031,1.028336372,1.024963031,-5%,-7%,
117,-0.004828143,-0.006297132,0.995171857,0.993702868,-5%,-7%,
118,-0.013951124,-0.012917543,0.986048876,0.987082457,-7%,-9%,
119,2.05915E-05,-0.00245823,1.000020592,0.99754177,-7%,-9%,
120,0.023664342,0.021879362,1.023664342,1.021879362,-4%,-7%,
121,-0.007867876,-0.011450356,0.992132124,0.988549644,-5%,-8%,
122,-0.001482801,-0.001310623,0.998517199,0.998689377,-5%,-8%,
123,0.018342918,0.016859048,1.018342918,1.016859048,-3%,-6%,
124,-0.008639908,-0.007694671,0.991360092,0.992305329,-4%,-7%,
125,0.007848034,0.010023626,1.007848034,1.010023626,-4%,-6%,
126,0.003556448,0.003329288,1.003556448,1.003329288,-3%,-6%,
127,0.008256535,0.006864914,1.008256535,1.006864914,-2%,-5%,
128,-0.005024581,-0.00473335,0.994975419,0.99526665,-3%,-6%,
129,0.018386315,0.021403138,1.018386315,1.021403138,-1%,-4%,
